admin_unit,crime_count,year
IZOLA,835,2013
JESENICE,1267,2013
KAMNIK,2671,2013
KOPER,3669,2013
KOČEVJE,1341,2013
KRANJ,7850,2013
KRŠKO,2273,2013
LAŠKO,638,2013
LENART,1078,2013
LENDAVA,2208,2013
LITIJA,1074,2013
LJUBLJANA,54329,2013
LJUTOMER,577,2013
LOGATEC,1040,2013
MARIBOR,12711,2013
METLIKA,485,2013
MOZIRJE,583,2013
MURSKA SOBOTA,2865,2013
NEZNANA OBČ,128,2013
NEZNANA UE,793,2013
NI PODATKA,202,2013
NOVA GORICA,2665,2013
NOVO MESTO,5787,2013
ORMOŽ,377,2013
PESNICA,1020,2013
PIRAN,1555,2013
POSTOJNA,1677,2013
PTUJ,3924,2013
RADLJE OB DRAVI,578,2013
RADOVLJICA,2173,2013
RAVNE NA KOROŠKEM,786,2013
RIBNICA,519,2013
RUŠE,711,2013
SEVNICA,1402,2013
SEŽANA,1341,2013
SLOVENJ GRADEC,1100,2013
SLOVENSKA BISTRICA,1864,2013
SLOVENSKE KONJICE,1218,2013
TOLMIN,484,2013
TRBOVLJE,1309,2013
TREBNJE,871,2013
TRŽIČ,607,2013
VELENJE,2550,2013
VRHNIKA,1876,2013
ZAGORJE OB SAVI,550,2013
ČRNOMELJ,1656,2013
ŠENTJUR PRI CELJU,964,2013
ŠKOFJA LOKA,1360,2013
ŠMARJE PRI JELŠAH,972,2013
ŽALEC,2855,2013
AJDOVŠČINA,728,2014
BREŽICE,1632,2014
CELJE,6387,2014
CERKNICA,432,2014
DOMŽALE,4709,2014
DRAVOGRAD,341,2014
GORNJA RADGONA,1055,2014
GROSUPLJE,4251,2014
HRASTNIK,299,2014
IDRIJA,520,2014
ILIRSKA BISTRICA,554,2014
IZOLA,1286,2014
JESENICE,1364,2014
KAMNIK,3282,2014
KOPER,4673,2014
KOČEVJE,1215,2014
KRANJ,5759,2014
KRŠKO,1334,2014
LAŠKO,699,2014
LENART,691,2014
LENDAVA,1648,2014
LITIJA,829,2014
LJUBLJANA,55250,2014
LJUTOMER,661,2014
LOGATEC,835,2014
MARIBOR,12065,2014
METLIKA,465,2014
MOZIRJE,490,2014
MURSKA SOBOTA,3707,2014
NEZNANA OBČ,217,2014
NEZNANA UE,978,2014
NI PODATKA,54,2014
NOVA GORICA,3058,2014
NOVO MESTO,4471,2014
ORMOŽ,383,2014
PESNICA,862,2014
PIRAN,1882,2014
POSTOJNA,1414,2014
PTUJ,3735,2014
RADLJE OB DRAVI,480,2014
RADOVLJICA,2134,2014
RAVNE NA KOROŠKEM,626,2014
RIBNICA,434,2014
RUŠE,509,2014
SEVNICA,781,2014
SEŽANA,1845,2014
SLOVENJ GRADEC,798,2014
SLOVENSKA BISTRICA,1603,2014
SLOVENSKE KONJICE,1286,2014
TOLMIN,509,2014
TRBOVLJE,876,2014
TREBNJE,1028,2014
TRŽIČ,451,2014
VELENJE,2304,2014
VRHNIKA,2604,2014
ZAGORJE OB SAVI,513,2014
ČRNOMELJ,1998,2014
ŠENTJUR PRI CELJU,1193,2014
ŠKOFJA LOKA,1362,2014
ŠMARJE PRI JELŠAH,1871,2014
ŽALEC,2154,2014
AJDOVŠČINA,502,2015
BREŽICE,1526,2015
CELJE,5312,2015
CERKNICA,475,2015
DOMŽALE,2824,2015
DRAVOGRAD,245,2015
GORNJA RADGONA,1591,2015
GROSUPLJE,2234,2015
HRASTNIK,251,2015
IDRIJA,272,2015
ILIRSKA BISTRICA,322,2015
IZOLA,2407,2015
JESENICE,1236,2015
KAMNIK,1988,2015
KOPER,3285,2015
KOČEVJE,1016,2015
KRANJ,4380,2015
KRŠKO,1538,2015
LAŠKO,494,2015
LENART,561,2015
LENDAVA,1316,2015
LITIJA,623,2015
LJUBLJANA,44551,2015
LJUTOMER,643,2015
LOGATEC,754,2015
MARIBOR,9845,2015
METLIKA,353,2015
MOZIRJE,378,2015
MURSKA SOBOTA,2996,2015
NEZNANA OBČ,214,2015
NEZNANA UE,949,2015
NI PODATKA,37,2015
NOVA GORICA,2530,2015
NOVO MESTO,3667,2015
ORMOŽ,304,2015
PESNICA,715,2015
PIRAN,971,2015
POSTOJNA,973,2015
PTUJ,2970,2015
RADLJE OB DRAVI,301,2015
RADOVLJICA,1635,2015
RAVNE NA KOROŠKEM,715,2015
RIBNICA,320,2015
RUŠE,463,2015
SEVNICA,491,2015
SEŽANA,1187,2015
SLOVENJ GRADEC,732,2015
SLOVENSKA BISTRICA,1447,2015
SLOVENSKE KONJICE,811,2015
TOLMIN,401,2015
TRBOVLJE,487,2015
TREBNJE,950,2015
TRŽIČ,472,2015
VELENJE,1998,2015
VRHNIKA,1400,2015
ZAGORJE OB SAVI,548,2015
ČRNOMELJ,718,2015
ŠENTJUR PRI CELJU,1218,2015
ŠKOFJA LOKA,1151,2015
ŠMARJE PRI JELŠAH,1074,2015
ŽALEC,1773,2015
AJDOVŠČINA,1030,2016
BREŽICE,831,2016
CELJE,4068,2016
CERKNICA,398,2016
DOMŽALE,2598,2016
DRAVOGRAD,362,2016
GORNJA RADGONA,315,2016
GROSUPLJE,1235,2016
HRASTNIK,120,2016
IDRIJA,353,2016
ILIRSKA BISTRICA,335,2016
IZOLA,676,2016
JESENICE,1246,2016
KAMNIK,1453,2016
KOPER,2899,2016
KOČEVJE,1135,2016
KRANJ,3281,2016
KRŠKO,3190,2016
LAŠKO,469,2016
LENART,315,2016
LENDAVA,1233,2016
LITIJA,570,2016
LJUBLJANA,37712,2016
LJUTOMER,492,2016
LOGATEC,532,2016
MARIBOR,7398,2016
METLIKA,188,2016
MOZIRJE,328,2016
MURSKA SOBOTA,1909,2016
NEZNANA OBČ,10270,2016
NEZNANA UE,847,2016
NI PODATKA,75,2016
NOVA GORICA,2136,2016
NOVO MESTO,2541,2016
ORMOŽ,382,2016
PESNICA,515,2016
PIRAN,1283,2016
POSTOJNA,975,2016
PTUJ,2260,2016
RADLJE OB DRAVI,191,2016
RADOVLJICA,1688,2016
RAVNE NA KOROŠKEM,559,2016
RIBNICA,433,2016
RUŠE,320,2016
SEVNICA,518,2016
SEŽANA,817,2016
SLOVENJ GRADEC,489,2016
