municipality_name,year,avg_gross_salary,avg_net_salary,permits_per_1000,median_price_m2,mean_price_m2,transaction_count,median_area_m2,hpi_total
Slovenska Bistrica,2023,2160.53,1416.91,7.4,1272.73,1264.11,85.0,78.0,197.97125000000003
Slovenska Bistrica,2024,2320.38,1484.86,5.5,1650.6,1510.15,78.0,75.1,208.204375
Slovenske Konjice,2023,1944.86,1295.31,3.3,1352.92,1319.7,50.0,88.3,197.97125000000003
Slovenske Konjice,2024,2032.03,1320.44,4.1,1228.05,1297.17,28.0,91.5,208.204375
Sodražica,2023,1822.04,1232.48,7.0,683.76,617.16,5.0,117.0,197.97125000000003
Sodražica,2024,1861.09,1223.95,3.0,754.36,702.29,4.0,85.2,208.204375
Solčava,2023,1901.63,1266.62,2.0,,,,,197.97125000000003
Solčava,2024,2073.23,1342.4,0.0,1092.79,1092.79,1.0,82.8,208.204375
Središče ob Dravi,2023,2145.8,1408.17,1.6,768.69,651.91,5.0,74.0,197.97125000000003
Središče ob Dravi,2024,2201.56,1404.5,2.2,1166.67,906.0,3.0,101.6,208.204375
Starše,2023,1716.06,1148.97,5.6,432.94,784.32,8.0,121.0,197.97125000000003
Starše,2024,1897.76,1228.3,4.6,810.6,883.15,4.0,152.1,208.204375
Straža,2023,1811.74,1220.71,4.4,776.36,878.21,10.0,77.5,197.97125000000003
Straža,2024,1933.31,1268.12,5.3,1077.59,1580.93,5.0,68.9,208.204375
Sveta Ana,2023,1902.11,1277.99,10.2,909.2,1110.56,4.0,76.6,197.97125000000003
Sveta Ana,2024,1978.13,1293.02,13.9,964.28,964.28,2.0,67.75,208.204375
Sveta Trojica v Slov. goricah,2023,2076.61,1377.3,8.7,,,,,197.97125000000003
Sveta Trojica v Slov. goricah,2024,2267.89,1473.18,10.7,,,,,208.204375
Sveti Andraž v Slov. goricah,2023,1666.07,1122.34,9.2,,,,,197.97125000000003
Sveti Andraž v Slov. goricah,2024,1764.53,1155.11,8.4,1427.09,1427.09,1.0,96.7,208.204375
Sveti Jurij ob Ščavnici,2023,1957.15,1310.89,14.4,475.34,528.04,6.0,103.0,197.97125000000003
Sveti Jurij ob Ščavnici,2024,2087.35,1360.32,14.6,521.52,544.38,3.0,163.7,208.204375
Sveti Jurij v Slov. goricah,2023,1868.72,1232.56,11.6,,,,,197.97125000000003
Sveti Jurij v Slov. goricah,2024,1986.29,1298.26,19.2,,,,,208.204375
Sveti Tomaž,2023,1953.33,1313.31,1.0,238.36,385.36,3.0,76.0,197.97125000000003
Sveti Tomaž,2024,2005.07,1315.35,5.5,559.85,632.81,6.0,209.8,208.204375
Tabor,2023,1740.39,1184.73,9.2,819.67,819.67,1.0,183.0,197.97125000000003
Tabor,2024,1863.23,1233.51,2.2,2898.55,2898.55,1.0,117.3,208.204375
Tišina,2023,2026.95,1343.57,2.5,394.67,403.19,3.0,227.3,197.97125000000003
Tišina,2024,2109.12,1366.77,6.6,865.44,713.67,5.0,170.1,208.204375
Tolmin,2023,2060.74,1380.67,1.6,850.82,965.97,36.0,88.7,197.97125000000003
Tolmin,2024,2169.06,1418.68,1.3,692.0,1087.5,20.0,83.75,208.204375
Trbovlje,2023,2202.05,1439.18,1.9,1175.38,1122.59,100.0,57.0,197.97125000000003
Trbovlje,2024,2334.99,1491.94,0.5,1354.33,1352.18,76.0,60.1,208.204375
Trebnje,2023,2135.62,1402.59,7.8,1819.05,1781.97,28.0,86.0,197.97125000000003
Trebnje,2024,2237.45,1436.67,4.2,1813.76,1691.91,26.0,84.65,208.204375
Trnovska vas,2023,1672.48,1129.1,7.2,720.91,720.91,2.0,89.5,197.97125000000003
Trnovska vas,2024,1880.49,1225.87,2.9,,,,,208.204375
Trzin,2023,2335.14,1512.83,0.5,2241.63,2305.78,8.0,158.7,197.97125000000003
Trzin,2024,2487.33,1573.85,0.5,1989.03,2013.92,7.0,118.5,208.204375
Tržič,2023,1956.2,1300.8,1.1,1744.46,1635.69,54.0,67.0,197.97125000000003
Tržič,2024,2077.76,1345.37,1.3,1720.32,1699.61,44.0,58.2,208.204375
Turnišče,2023,1699.0,1154.19,1.9,901.03,808.67,4.0,82.5,197.97125000000003
Turnišče,2024,1781.23,1173.06,2.9,1438.05,1438.05,1.0,90.4,208.204375
Velenje,2023,2077.94,1374.62,2.5,1866.15,1735.58,123.0,62.8,197.97125000000003
Velenje,2024,2226.52,1438.68,2.0,1900.76,1921.28,122.0,66.25,208.204375
Velika Polana,2023,1751.63,1188.42,2.9,,,,,197.97125000000003
Velika Polana,2024,1835.29,1207.51,5.0,,,,,208.204375
Velike Lašče,2023,1758.52,1186.47,2.0,1030.26,1030.26,2.0,141.6,197.97125000000003
Velike Lašče,2024,1881.04,1233.67,3.3,1240.4,1240.4,2.0,219.39999999999998,208.204375
Veržej,2023,1981.95,1325.41,2.9,1020.41,1204.42,3.0,49.0,197.97125000000003
Veržej,2024,2064.6,1347.13,8.0,1172.68,1155.51,4.0,66.6,208.204375
Videm,2023,1850.35,1228.1,3.4,593.02,679.38,15.0,80.0,197.97125000000003
Videm,2024,2033.14,1316.15,4.8,789.07,806.64,6.0,105.1,208.204375
Vipava,2023,1957.03,1310.6,2.4,1288.04,1316.32,13.0,94.0,197.97125000000003
Vipava,2024,2064.61,1345.9,3.1,1580.46,1721.45,11.0,100.2,208.204375
Vitanje,2023,1817.44,1225.21,1.8,834.79,835.52,8.0,48.0,197.97125000000003
Vitanje,2024,1922.27,1261.21,1.8,661.42,1189.14,6.0,75.15,208.204375
Vodice,2023,1786.29,1190.91,3.7,2910.7,2759.43,6.0,102.35,197.97125000000003
Vodice,2024,1921.15,1243.59,3.9,2321.43,1949.53,5.0,168.0,208.204375
Vojnik,2023,1953.36,1292.96,4.1,1095.89,1221.18,21.0,71.8,197.97125000000003
Vojnik,2024,2096.93,1350.48,1.9,1112.62,1334.1,18.0,82.85,208.204375
Vransko,2023,1935.63,1297.35,3.0,1231.8,1097.34,3.0,89.3,197.97125000000003
Vransko,2024,2044.97,1334.95,2.9,2755.5,2755.5,1.0,77.3,208.204375
Vrhnika,2023,2051.69,1357.81,2.0,2683.68,2701.56,30.0,61.05,197.97125000000003
Vrhnika,2024,2194.98,1413.35,1.7,2644.42,2514.69,33.0,79.0,208.204375
Vuzenica,2023,2283.74,1506.43,1.1,696.06,664.36,10.0,114.6,197.97125000000003
Vuzenica,2024,2407.14,1548.58,3.0,705.88,777.72,3.0,90.0,208.204375
Zagorje ob Savi,2023,1996.05,1324.55,1.1,1272.73,1157.9,33.0,65.0,197.97125000000003
Zagorje ob Savi,2024,2153.37,1388.84,3.0,942.23,1042.08,14.0,77.55,208.204375
Zavrč,2023,2030.7,1323.62,0.7,649.69,515.92,6.0,79.5,197.97125000000003
Zavrč,2024,2307.67,1434.72,3.4,615.33,615.33,2.0,56.699999999999996,208.204375
Zreče,2023,2067.77,1359.64,4.4,1532.18,1615.11,16.0,36.0,197.97125000000003
Zreče,2024,2256.13,1443.64,4.5,1391.51,1342.92,8.0,58.4,208.204375
Črenšovci,2023,2020.91,1331.16,3.3,421.74,421.74,2.0,445.65,197.97125000000003
Črenšovci,2024,2171.66,1392.57,2.0,,,,,208.204375
Črna na Koroškem,2023,2132.9,1403.45,0.6,1059.79,1121.06,6.0,69.05,197.97125000000003
Črna na Koroškem,2024,2249.12,1449.62,1.7,1147.34,1015.58,6.0,61.1,208.204375
Črnomelj,2023,1913.74,1273.12,5.7,638.46,782.1,37.0,93.0,197.97125000000003
Črnomelj,2024,2016.6,1306.78,4.3,877.34,908.13,32.0,78.75,208.204375
Šalovci,2023,1716.3,1171.1,6.7,589.78,559.78,3.0,71.4,197.97125000000003
Šalovci,2024,1804.66,1198.28,9.7,628.56,628.56,2.0,48.0,208.204375
Šempeter - Vrtojba,2023,2366.76,1539.56,0.3,,,,,197.97125000000003
Šempeter - Vrtojba,2024,2476.28,1577.71,0.6,,,,,208.204375
Šentilj,2023,2124.53,1400.42,2.6,1161.45,1184.59,26.0,90.35,197.97125000000003
Šentilj,2024,2249.88,1445.4,3.0,1247.62,1311.95,37.0,86.2,208.204375
Šentjernej,2023,2236.0,1467.96,6.3,919.35,810.69,5.0,68.0,197.97125000000003
Šentjernej,2024,2435.64,1550.94,6.7,1341.57,1394.22,7.0,80.8,208.204375
Šentjur,2023,1883.6,1261.81,4.3,890.62,1056.38,39.0,70.0,197.97125000000003
Šentjur,2024,1985.49,1296.45,4.9,966.8,1169.47,39.0,84.9,208.204375
Šentrupert,2023,2266.75,1492.69,7.8,480.77,771.52,3.0,135.0,197.97125000000003
Šentrupert,2024,2422.25,1556.64,7.7,1006.71,812.02,5.0,104.3,208.204375
Šenčur,2023,2387.68,1544.77,3.5,2343.75,2708.46,5.0,64.0,197.97125000000003
Šenčur,2024,2533.13,1600.97,4.0,1490.71,1711.77,9.0,153.9,208.204375
Škocjan,2023,2080.44,1376.05,8.9,694.42,694.42,2.0,81.95,197.97125000000003
Škocjan,2024,2195.28,1420.49,5.6,334.22,408.17,3.0,110.5,208.204375
Škofja Loka,2023,2212.33,1457.83,2.0,2380.95,2129.86,65.0,72.5,197.97125000000003
Škofja Loka,2024,2351.57,1512.67,1.4,2700.96,2698.02,67.0,66.8,208.204375
Škofljica,2023,2070.62,1367.09,1.3,1851.08,2147.6,26.0,131.05,197.97125000000003
Škofljica,2024,2227.61,1433.43,0.8,2567.14,2554.7,25.0,132.9,208.204375
Šmarje pri Jelšah,2023,2054.2,1348.37,9.7,1184.16,1080.04,26.0,72.5,197.97125000000003
Šmarje pri Jelšah,2024,2201.71,1408.64,6.9,920.06,1024.63,30.0,91.65,208.204375
Šmarješke Toplice,2023,2096.53,1392.84,8.7,3171.37,2811.3,39.0,46.6,197.97125000000003
Šmarješke Toplice,2024,2233.88,1444.15,9.2,1591.56,2002.46,16.0,56.65,208.204375
Šmartno ob Paki,2023,1847.85,1241.29,8.0,587.12,704.58,7.0,168.0,197.97125000000003
Šmartno ob Paki,2024,2009.71,1314.15,2.4,2840.43,2840.43,1.0,119.7,208.204375
Šmartno pri Litiji,2023,1761.42,1191.15,4.7,846.1,891.04,6.0,86.0,197.97125000000003
Šmartno pri Litiji,2024,1853.54,1218.07,2.2,739.28,934.95,14.0,130.15,208.204375
Šoštanj,2023,2110.19,1389.49,6.0,1154.87,1213.98,29.0,70.0,197.97125000000003
Šoštanj,2024,2219.45,1423.43,4.2,1431.0,1434.8,22.0,70.15,208.204375
Štore,2023,2226.96,1469.03,1.3,1112.5,1119.53,21.0,54.0,197.97125000000003
Štore,2024,2359.03,1524.36,1.1,1359.45,1186.14,18.0,82.85,208.204375
Žalec,2023,2032.64,1344.89,2.1,1469.8,1485.52,58.0,64.0,197.97125000000003
Žalec,2024,2199.17,1417.55,2.2,1559.83,1604.56,57.0,60.9,208.204375
Železniki,2023,2027.12,1348.55,2.0,1409.0,1466.1,10.0,65.35,197.97125000000003
Železniki,2024,2147.37,1393.17,1.4,1932.82,1851.03,6.0,47.05,208.204375
Žetale,2023,1922.55,1285.25,1.6,312.88,329.18,4.0,83.5,197.97125000000003
Žetale,2024,1968.27,1280.33,1.5,447.76,692.6,3.0,97.9,208.204375
Žiri,2023,2058.79,1371.33,2.6,1438.09,1360.26,6.0,72.5,197.97125000000003
Žiri,2024,2152.54,1397.92,3.4,560.88,647.14,6.0,99.3,208.204375
Žirovnica,2023,2182.11,1435.39,1.6,1268.58,1402.83,6.0,201.0,197.97125000000003
Žirovnica,2024,2519.3,1602.47,2.2,375.0,375.0,1.0,80.0,208.204375
Žužemberk,2023,1964.26,1308.89,9.2,628.21,954.1,9.0,78.0,197.97125000000003
Žužemberk,2024,2081.38,1347.82,11.6,617.98,694.37,8.0,104.5,208.204375
